customer_id,month,storage_used_tb
1,1,8.745401188473625
1,2,14.511310078016987
1,3,12.328273445949703
1,4,10.999085883723845
1,5,6.576854460095671
1,6,6.580780272951159
1,7,5.605838205188954
1,8,13.690930555174138
1,9,11.0444862287747
1,10,12.118228903220892
1,11,5.24751508213629
1,12,14.744935674716034
2,1,13.374430575018136
2,2,7.177562287714506
2,3,6.876587866920578
2,4,6.896550307301735
2,5,8.1090946522806
2,6,10.318403552925428
2,7,9.394456436942034
2,8,7.991464666419122
2,9,11.201869225580324
2,10,6.482445898794775
2,11,8.013120791544363
2,12,8.759459753046928
3,1,9.660708176198195
3,2,12.955934961875798
3,3,7.105080183447086
3,4,10.254853759917431
3,5,11.040822078319566
3,6,5.585347530816946
3,7,11.200458936549177
3,8,6.834418668325537
3,9,5.7838603752232425
3,10,14.626366831821606
3,11,14.797998803951694
3,12,13.229818968288537
4,1,8.19615019277546
4,2,6.130900655023419
4,3,12.000676793998974
4,4,9.564038480191247
4,5,6.387062905160848
4,6,10.12261667174359
4,7,5.5188997957008965
4,8,14.27238561925436
4,9,7.771148428384534
4,10,11.812738469842012
4,11,8.308793401114128
4,12,10.396529865915953
5,1,10.667119461488468
5,2,7.052728237228768
5,3,14.90419697353691
5,4,12.963845943420296
5,5,14.61167413936887
5,6,14.169125241921291
5,7,11.20401853967348
5,8,14.447928115711624
5,9,6.118277799917478
5,10,7.197348417507562
5,11,5.693959696339316
5,12,8.499157128784406
6,1,9.13679373196441
6,2,7.967678166726374
6,3,13.545729954424537
6,4,8.830055143758962
6,5,8.076033987614702
6,6,10.697816736241206
6,7,6.684265168324174
6,8,13.301159740034771
6,9,6.028863383209909
6,10,15.1563933263352
6,11,13.014138667214429
6,12,7.283014803507404
7,1,5.355246173319531
7,2,13.458806300549675
7,3,12.376932468395331
7,4,12.60259772424686
7,5,13.02939652461427
7,6,6.061306589013543
7,7,8.909684371033194
7,8,6.48788469475959
7,9,13.964395372182054
7,10,11.570509395619526
7,11,8.650675389788264
7,12,5.981445658039835
8,1,8.459852386254047
8,2,8.606029403282722
8,3,12.654424980313719
8,4,11.738104924403036
8,5,14.238824650531996
8,6,10.09301349030605
8,7,6.570973711987401
8,8,12.511646138752159
8,9,12.991215766609011
8,10,11.000304270052824
8,11,13.1013711078213
8,12,10.333822285837424
